date,winning_times,tail_wind,birth_date,country,age
2013-04-28,10.01,0.9,1995-12-15,JPN,17.38082191780822
2002-07-17,10.09,-0.6,1984-11-10,TTO,17.693150684931506
2018-02-06,10.09,0.9,2000-05-09,USA,17.75890410958904
2017-04-08,10.05,-0.6,1999-06-03,JPN,17.86027397260274
2008-06-28,10.01,1.6,1990-08-01,USA,17.92054794520548
1994-04-16,10.08,1.9,1976-03-30,BAR,18.057534246575344
2017-06-23,10.06,0.5,1999-06-03,JPN,18.068493150684933
2017-06-23,10.06,0.4,1999-06-03,JPN,18.068493150684933
2017-06-24,10.05,0.5,1999-06-03,JPN,18.071232876712326
2005-07-24,10.08,0.7,1987-05-20,USA,18.191780821917806
2001-02-06,10.08,0.0,1982-10-02,USA,18.36164383561644
2014-05-17,10.05,1.6,1995-12-15,JPN,18.432876712328767
2014-03-28,10.02,0.9,1995-10-07,USA,18.484931506849318
2014-03-29,10.01,1.5,1995-10-07,USA,18.487671232876714
2003-05-24,10.08,0.5,1984-11-10,TTO,18.54520547945205
2014-05-07,10.08,1.4,1995-10-07,USA,18.594520547945205
2014-05-07,10.07,1.2,1995-10-07,USA,18.594520547945205
2014-05-17,10.09,0.1,1995-10-07,USA,18.621917808219177
2012-02-06,10.08,0.8,1993-06-10,GBR,18.671232876712327
2014-06-13,9.97,1.8,1995-10-07,USA,18.695890410958906
2009-07-24,10.04,0.2,1990-11-06,FRA,18.72602739726027
2009-07-31,10.03,0.7,1990-11-03,USA,18.753424657534246
2003-08-24,10.01,0.0,1984-11-10,TTO,18.797260273972608
2003-08-25,10.08,0.0,1984-11-10,TTO,18.8
2012-05-08,10.06,1.7,1993-06-10,GBR,18.923287671232877
2014-05-07,10.0,1.6,1995-05-06,USA,19.016438356164386
2009-06-13,10.08,1.3,1990-05-29,AZE,19.054794520547947
2009-02-05,10.07,0.1,1989-12-26,JAM,19.126027397260273
1991-01-08,10.04,0.2,1971-11-22,NGR,19.142465753424663
2010-01-05,10.09,1.0,1990-11-06,FRA,19.17808219178082
2009-03-14,10.08,1.5,1989-12-26,JAM,19.227397260273968
1991-02-08,10.09,-0.1,1971-11-22,NGR,19.227397260273968
1997-07-25,10.06,2.0,1978-05-04,GBR,19.23835616438356
2003-05-30,10.07,1.1,1984-03-07,USA,19.24109589041096
2016-04-15,10.04,1.9,1997-01-06,KSA,19.28493150684932
1995-03-18,10.02,-0.1,1975-11-22,NGR,19.331506849315073
2005-05-27,10.06,1.5,1986-01-31,USA,19.331506849315073
2012-02-09,10.0,0.1,1992-10-01,JAM,19.369863013698627
2019-05-19,10.03,1.7,2000-01-07,INA,19.375342465753427
2015-02-05,10.09,1.0,1995-09-23,USA,19.383561643835613
2004-08-07,10.07,0.2,1985-03-21,NGR,19.394520547945206
2011-07-22,10.07,0.3,1992-02-27,FRA,19.410958904109584
2012-11-07,10.05,0.1,1993-06-10,GBR,19.424657534246574
2011-07-29,10.07,2.0,1992-02-27,FRA,19.43013698630137
2010-04-09,10.06,0.7,1990-11-06,FRA,19.435616438356163
2006-05-26,10.06,1.8,1986-12-13,USA,19.46301369863014
2006-05-27,10.0,1.0,1986-12-13,USA,19.46575342465753
2015-03-27,10.02,-0.1,1995-10-07,USA,19.48219178082192
2015-03-28,10.02,-0.1,1995-10-07,USA,19.484931506849318
2012-04-08,10.07,1.3,1992-10-06,JPN,19.51780821917808
2015-04-18,10.02,0.7,1995-10-07,USA,19.542465753424658
1997-07-13,9.97,1.5,1977-12-28,NGR,19.553424657534247
2010-05-23,10.03,0.6,1990-11-06,FRA,19.556164383561644
2004-10-07,10.08,0.3,1985-03-21,NGR,19.56164383561644
2012-04-29,10.08,2.0,1992-10-06,JPN,19.575342465753426
1998-06-20,10.06,-0.8,1978-11-22,NGR,19.589041095890405
1998-06-20,10.08,0.5,1978-11-22,NGR,19.589041095890405
2012-05-05,10.09,1.0,1992-10-01,JAM,19.605479452054798
2013-07-21,10.09,1.8,1993-12-15,USA,19.610958904109584
2015-05-16,10.09,1.3,1995-10-07,USA,19.61917808219178
2010-06-19,10.02,1.1,1990-11-06,FRA,19.630136986301373
2010-07-16,10.09,-0.3,1990-11-06,FRA,19.704109589041096
2015-06-25,9.84,1.3,1995-10-07,USA,19.728767123287675
2015-06-26,9.96,0.0,1995-10-07,USA,19.731506849315068
2010-07-28,10.06,-1.2,1990-11-06,FRA,19.736986301369864
2012-06-29,10.06,1.5,1992-10-01,JAM,19.756164383561643
2012-06-29,10.0,1.1,1992-10-01,JAM,19.756164383561643
2009-10-06,10.04,1.7,1990-01-08,USA,19.756164383561643
2010-08-07,10.05,0.0,1990-11-06,FRA,19.76438356164384
2015-06-25,10.07,1.3,1995-09-23,USA,19.767123287671236
2016-03-07,9.95,1.7,1996-06-03,USA,19.772602739726032
2016-03-07,10.06,1.6,1996-06-03,USA,19.772602739726032
2012-07-09,9.97,0.3,1992-10-01,JAM,19.783561643835615
2009-05-23,10.09,1.3,1989-08-12,PAN,19.791780821917808
2010-05-16,10.06,1.3,1990-08-01,USA,19.802739726027397
1998-09-07,10.06,1.0,1978-11-22,NGR,19.805479452054797
1998-09-07,10.01,0.2,1978-11-22,NGR,19.805479452054797
2010-08-29,9.97,0.9,1990-11-06,FRA,19.824657534246573
2010-08-29,9.98,1.1,1990-11-06,FRA,19.824657534246573
2010-05-28,10.06,1.3,1990-08-01,USA,19.83561643835617
2010-09-07,9.98,1.3,1990-11-06,FRA,19.849315068493148
2018-06-22,10.06,0.2,1998-08-20,BRA,19.852054794520548
2015-10-18,10.09,0.3,1995-12-15,JPN,19.854794520547944
2015-06-20,10.06,1.6,1995-08-11,BAR,19.871232876712327
2015-08-22,9.91,0.5,1995-10-07,USA,19.887671232876716
2015-08-23,9.99,-0.4,1995-10-07,USA,19.89041095890411
2015-08-23,9.92,-0.5,1995-10-07,USA,19.89041095890411
2012-04-21,10.09,1.0,1992-06-01,USA,19.9013698630137
1998-09-17,10.03,-0.1,1978-10-25,AUS,19.90958904109589
2004-08-07,10.09,0.3,1984-09-07,NGR,19.928767123287674
2010-10-06,10.09,0.6,1990-11-06,FRA,19.928767123287674
2018-05-31,10.04,-0.4,1998-06-15,ITA,19.972602739726028
